tests with processor pinned:

32-bit DIGITs, AVX enabled.  Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz   3.41 GHz.  16 GB RAM
SpeedCheckBasicMultiply
Size (BYTEs): 60 Size (DIGITs): 15      Register block size: 4  Iterations: 10000000    Time: 2004399
Size (BYTEs): 60 Size (DIGITs): 15      Register block size: 5  Iterations: 10000000    Time: 1982975
Size (BYTEs): 60 Size (DIGITs): 15      Register block size: 6  Iterations: 10000000    Time: 2110567
Size (BYTEs): 64 Size (DIGITs): 16      Register block size: 1  Iterations: 10000000    Time: 2778976
Size (BYTEs): 64 Size (DIGITs): 16      Register block size: 2  Iterations: 10000000    Time: 2421481
Size (BYTEs): 64 Size (DIGITs): 16      Register block size: 3  Iterations: 10000000    Time: 2289111
Size (BYTEs): 64 Size (DIGITs): 16      Register block size: 4  Iterations: 10000000    Time: 2579585
Size (BYTEs): 64 Size (DIGITs): 16      Register block size: 5  Iterations: 10000000    Time: 2251625
Size (BYTEs): 64 Size (DIGITs): 16      Register block size: 6  Iterations: 10000000    Time: 2600791
Size (BYTEs): 68 Size (DIGITs): 17      Register block size: 1  Iterations: 10000000    Time: 3147264
Size (BYTEs): 68 Size (DIGITs): 17      Register block size: 2  Iterations: 10000000    Time: 2596362
Size (BYTEs): 68 Size (DIGITs): 17      Register block size: 3  Iterations: 10000000    Time: 2572357
Size (BYTEs): 68 Size (DIGITs): 17      Register block size: 4  Iterations: 10000000    Time: 2202761
Size (BYTEs): 68 Size (DIGITs): 17      Register block size: 5  Iterations: 10000000    Time: 2359321
Size (BYTEs): 68 Size (DIGITs): 17      Register block size: 6  Iterations: 10000000    Time: 2872886
Size (BYTEs): 72 Size (DIGITs): 18      Register block size: 1  Iterations: 10000000    Time: 3668536
Size (BYTEs): 72 Size (DIGITs): 18      Register block size: 2  Iterations: 10000000    Time: 2896165
Size (BYTEs): 72 Size (DIGITs): 18      Register block size: 3  Iterations: 10000000    Time: 2750589
Size (BYTEs): 72 Size (DIGITs): 18      Register block size: 4  Iterations: 10000000    Time: 2578288
Size (BYTEs): 72 Size (DIGITs): 18      Register block size: 5  Iterations: 10000000    Time: 2844827
Size (BYTEs): 72 Size (DIGITs): 18      Register block size: 6  Iterations: 10000000    Time: 2886049
